id,type,title,domain,url,preview,number_count,score
6708542,political,,,,Sen Sanders and Sec Clinton split the two states that voted yesterday — Bernie claimed Oregon at 55%-45% while Hillary claimed Kentucky by less than 1% at approximately 47%-46%. The delegate split from the two races mean that Sen Sanders netted (at t,785,785
7880626,political,,,,"I. Latest Numbers Update 33, 2:30 P.M. EDT Wednesday, April 30: Given that USA Today's results numbers haven't moved in more than five days, I'm guessing that they are no longer updating their site. So I believe that this will be my last update. Anot",672,672
135883,political,,,,This is my final iteration of Plus -Minus Polling. I updated all swing states with most recent polls through November 4th. My final call holds at 323 EV for Hillary. A substantial gap has opened between my numbers and Nate Silver's Fivethirtyeight.co,642,642
7881912,political,,,,"We are a study community, naming our DK series for the Dvar Torah tradition. No great level of scholarship is required, but respect, friendliness, and a willingness to learn from Judaic viewpoint are. Newcomers and guests can get their bearings from ",623,623
2096063,bias,,,,"From Conservapedia Federal spending allocation in 2011 The National Debt is the amount of money the United States Federal government owes various creditors due to deficit spending. As of May 31, 2017, the national debt had become stable at $$19.8 tri",553,553
4368192,conspiracy,,,,"Earlier today there was a poster who, in the introductions forum, claimed to be someone who was an ""insider"" and had some information that they felt the world needed to know. ATS took it down because, ( I think,) the member posted contact information",552,552
2041261,political,,,,"To chess players: Round 5 will last from now until the evening of Monday, July 27. It is your responsibility to contact your opponent so that you can complete your match before the end of Round 5. When you and your opponent have agreed to a schedule ",547,547
2041060,political,,,,"To chess players: Round 7 will last from now until the evening of Tuesday, August 11. It is your responsibility to contact your opponent so that you can complete your match before the end of Round 7. When you and your opponent have agreed to a schedu",547,547
727208,political,,,,"There are 9 Democratic Senators from blue states running for re-election this year (Kent Conrad, Ben Nelson, Bill Nelson, Jeff Bingaman, and Robert Byrd are from red states, Paul Sarbanes and Mark Dayton are retiring, and Bob Menendez hasn't been ele",533,533
433520,fake,,,,"Is US Manufacturing Finally Getting Back to Work? Headline: Bitcoin & Blockchain Searches Exceed Trump! Blockchain Stocks Are Next! From time to time we like to blog about the manufacturing sector (see here, here, and here). This is because manufactu",508,508
3731039,fake,,,,Are Q1 Expectations Too Low? – Earnings Trends (Before It's News) Earnings Trends Zacks Weekly Earnings Overview (Covers companies in the S&P 500) Note: I was on track to assume this regular weekly piece in the coming weeks to accommodate Dirk Van Di,480,480
1077364,bias,,,,"One of the major problems in most societies, subject to “great sorts” of various kinds, is the fact that people observe correlations of attitudes & beliefs, and infer from those necessary relations. For example, if one of the first things that someon",478,478
3743690,fake,,,,"(Before It's News) VANCOUVER, BRITISH COLUMBIA–(Marketwire – Sept. 29, 2011) - Pretium Resources Inc. (TSX:PVG) (“Pretivm”) is pleased to report results from the Brucejack Project where ongoing drilling continues to demonstrate the continuity of high",478,478
8917910,reliable,,,,"CORRECTION APPENDED A guide to cultural and recreational goings-on in and around Westchester and Putnam Counties this week. Items for the guide should be sent at least three weeks in advance by e-mail, to westweek@nytimes.com, or by mail, to Westches",462,462
9622682,reliable,,,,"What he does is attack a giant slalom racecourse with a self-invented style that is revolutionizing how the event is being skied. What that produced Wednesday was a commanding lead for Ligety after the first of two runs down the mountain. Then, with ",461,461
6447499,political,,,,"What you see here are a hotlink to the politician's Twitter ID, their real name, their district or state, a hot link to their @Klout, their friends (mutual follower/following), their followers, and their True Reach. Klout is a computationally complex",448,448
6951531,political,,,,"This candidate has a clear lead. The 48 point victory in the South Carolina primary has placed Hillary Clinton firmly in control of the delegate math. Sec Clinton has taken a clear lead of 26 pledged delegates and more than that, is ahead of where Da",445,445
9043402,reliable,,,,"A guide to cultural and recreational goings-on around the state this week. Items may be submitted by mail to On the Towns, Sunday New Jersey Section, The New York Times, 229 West 43rd Street, New York, N.Y. 10036; or by e-mail to njtowns@nytimes.com.",436,436
500957,political,,,,The top five pitchers on the new look www.valueaddbaseball.com database above will stay the same when the ratings are updated Saturday (see all 205 pitchers to make at least five starts below). Reader feedback urged us to move the Value Add rating ju,422,422
918007,political,,,,"From Red to Blue Jack Conway is Kentucky’s Attorney General. He is running for the Senate now – and his opponent is Rand Paul. Read about Jack Conway’s campaign here – and if you are moved to support him as we are, please donate at this Act Blue page",415,415
