id,type,title,domain,url,preview,token_count,score
3335074.0,unknown,,,,"Lee Carroll – Greetings, I am Kryon of Magnetic Service. I want you to take a moment and take a breath. Now look at the reality that is before you. You sit in a dark room on a beautiful Sunday afternoon listening to a man in a chair. You’re told it i",2663,2663
3419891.0,political,,,,"I'm not picking on people here. I have the highest respect for my fellow Kossacks in this discussion. What I want to do is highlight this line of thinking and get it out to a greater audience for some discussion, that's it. This is not a call out. Re",2660,2660
4015798.0,conspiracy,,,,Welcome to the Church of the Walking Wounded. That’s why so many people find fellowship on the internet they don’t find in church. No guilt. Nobody can see you sneaking that cigarette or that beer. “The sting of death is sin; and the strength of sin ,2656,2656
1291545.0,hate,,,,"What community wouldn’t be proud to have a Donna Bailey in its midst? Committed to civic improvement, she’s just as determined to mend broken swings in the park as she is to stop teenagers hanging around the local corner shop in the evenings. Such is",2623,2623
7559297.0,fake,,,,"Must Read & Share – Jesus On The Great Darkness – HOPE (Before It's News) Without question, this is the most important message from Jesus that you will ever read up to this time. Please share with your friends and family. https://lighthascome.com/201",2621,2621
4453185.0,political,,,,"My daughter (Zuna, as she's known online) can tell you that I'm a very silly person. Sometimes, she thinks I'm too silly. We laugh a lot. I laugh a lot. I have always laughed. I love how it feels. I love the joy of it. The release of energy. I simply",2612,2612
8294151.0,reliable,,,,"Why Donald Trump's Victory Terrifies Some Of Your Ethnic Minority Friends There’s only one thing that gets rid of fear well, and that’s love. 11/11/2016 10:54 pm ET | Updated 10 minutes ago 570 Matt Mikalatos Storyteller, author, speaker. Photo by Ga",2598,2598
1766077.0,political,,,,"Instagram, like sports fandom or one tequila shot too many, unearths from within even the saintliest among us our most insufferable selves. Among friends who follow one another, a mutually-assured forgiveness is granted; it’s hard to hate on the play",2596,2596
6129275.0,fake,,,,(Before It's News) The New Year has rolled around again and we all know that it is the time we are supposed to stop and reflect on our lives. We look at all of our achievements of the past year. Maybe you finished a course? Maybe you broke that bad h,2593,2593
3241184.0,political,,,,"At 11:30 p.m., after a very long day, I finally stumbled into the lobby of what I will refer to as the unofficial hotel. For a girl accustomed to cheap motels and occasional sofas, the unofficial hotel is absolutely luxurious to me. The lobby is luxu",2584,2584
5042556.0,nan,,,,By John Crump U.S.A. –-(Ammoland.com)- Being a war correspondent in a warzone is a tough job. Being the only war correspondent embedded long term with the Army 10th Group Special Forces while being a woman is tougher. This is what Alex Quade did for ,2580,2580
8233690.0,reliable,,,,"Video Transcript Transcript for Talking with Voters at the Venice Beach, California, Lifeguard Headquarters Polling Location I'm looking at that and I'm wrestling mat there we're here in Bennett California at election date when he Eckstein. And we ar",2580,2580
6765796.0,fake,,,,"Pre~First Contact Information~ WHAMMY~ and Your Out of TIME!!! Brilliant INFO (Before It's News) Pre~First Contact Information of High Velocity Light THE LIBERATION OF THE SOUL, THE LOUD EVOLUTION taking Place NOW! “The Whammy”, nothing can stop us n",2568,2568
7535208.0,fake,,,,"Pre~First Contact Information~ WHAMMY~ and Your Out of TIME!!! Brilliant INFO (Before It's News) Pre~First Contact Information of High Velocity Light THE LIBERATION OF THE SOUL, THE LOUD EVOLUTION taking Place NOW! “The Whammy”, nothing can stop us n",2568,2568
7634002.0,bias,,,,"Brandon West | Waking Times We all have a connecting link to universal consciousness within us, and when we are open and receptive to that connection then we are in a state of inner peace, love, inspiration, bliss, and so on. All of those wonderful q",2567,2567
7804483.0,political,,,,"Can’t stop my mind long enough to sleep for more than a couple hours at a time anymore. It races all the time now. Part of it goes over what we are still learning every day: the fraud, the corruption, the immorality -and not in some “right-wing glen ",2563,2563
942168.0,clickbait,,,,"OpinionAbortion, Faith March 14, 2016 (TheBridgehead) -- Times seem dark for American conservatism. With the Republican Party engaging in a bloody, full-fledged civil war, the House of Clinton slowly rising once again, and the potential of Barack Oba",2560,2560
3869239.0,political,,,,"Radio host and author Michael Savage joined SiriusXM host Alex Marlow to discuss his new book God, Faith, and Reason on a special Thanksgiving Day edition of Breitbart News Daily. “I just want to emphasize this: you hear ‘God’ in a title, right away ",2557,2557
1931315.0,fake,,,,"(Before It's News) Greetings and Salutations, Today we are introducing you to your future! ZAP has provided a step by step guide to help us all understand the events about to take place this week and launch us into our bright new future. As an added ",2554,2554
3975354.0,bias,,,,"Interviewing Mark Levin About His New Book, “Ameritopia: The Unmaking of America.” by John Hawkins | January 26, 2012 6:59 am Mark Levin’s Ameritopia: The Unmaking of America[1] “will debut at #1 for all four categories on the New York Times nonficti",2551,2551
